Manufacturer,LCSC Part #,Description,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),value,tolerance,type,voltage,min_value,max_value
UNIROYAL ELEC,C17526,CHIP RESISTOR - SURFACE MOUNT 2.4KOHMS ±1% 1/8W 0805 ROHS,0805,48273,CHIP RESISTOR - SURFACE MOUNT,0805W8F2401T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F2401T5E_C17526.pdf,0.0051,2400.0,1.0,Resistor,,2376.0,2424.0
UNIROYAL ELEC,C25190,CHIP RESISTOR - SURFACE MOUNT 27OHMS ±1% 1/10W 0603 ROHS,0603,34238,CHIP RESISTOR - SURFACE MOUNT,0603WAF270JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF270JT5E_C25190.pdf,0.0021,27.0,1.0,Resistor,,26.73,27.27
UNIROYAL ELEC,C17530,CHIP RESISTOR - SURFACE MOUNT 2.7KOHMS ±1% 1/8W 0805 ROHS,0805,42282,CHIP RESISTOR - SURFACE MOUNT,0805W8F2701T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F2701T5E_C17530.pdf,0.003,2700.0,1.0,Resistor,,2673.0,2727.0
UNIROYAL ELEC,C25104,CHIP RESISTOR - SURFACE MOUNT 330OHMS ±1% 1/16W 0402 ROHS,0402,46812,CHIP RESISTOR - SURFACE MOUNT,0402WGF3300TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF3300TCE_C25104.pdf,0.0011,330.0,1.0,Resistor,,326.7,333.3
UNIROYAL ELEC,C25194,CHIP RESISTOR - SURFACE MOUNT 360OHMS ±1% 1/10W 0603 ROHS,0603,31533,CHIP RESISTOR - SURFACE MOUNT,0603WAF3600T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF3600T5E_C25194.pdf,0.0038,360.0,1.0,Resistor,,356.4,363.6
UNIROYAL ELEC,C25826,CHIP RESISTOR - SURFACE MOUNT 39KOHMS ±1% 1/8W 0805 ROHS,0805,16463,CHIP RESISTOR - SURFACE MOUNT,0805W8F3902T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F3902T5E_C25826.pdf,0.0033,39000.0,1.0,Resistor,,38610.0,39390.0
UNIROYAL ELEC,C23150,CHIP RESISTOR - SURFACE MOUNT 390KOHMS ±1% 1/10W 0603 ROHS,0603,68886,CHIP RESISTOR - SURFACE MOUNT,0603WAF3903T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF3903T5E_C23150.pdf,0.0033,390000.0,1.0,Resistor,,386100.0,393900.0
GUANGDONG FENGHUA ADVANCED TECH,C1548,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 15PF 50V 0402 ROHS,0402,24375,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG150J500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG150J500NT_C1548.pdf,0.0027,1.5e-11,5.0,Capacitor,50.0,1.425e-11,1.575e-11
GUANGDONG FENGHUA ADVANCED TECH,C1557,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 27PF 50V 0402 ROHS,0402,113734,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG270J500NTN,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG270J500NTN_C1557.pdf,0.0129,2.7e-11,5.0,Capacitor,50.0,2.565e-11,2.835e-11
SAMSUNG ELECTRO-MECHANICS,C14857,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 47PF 50V 0805 ROHS,0805,45252,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL21C470JBANNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL21C470JBANNNC_C14857.pdf,0.0103,4.7e-11,5.0,Capacitor,50.0,4.4649999999999996e-11,4.935e-11
