Manufacturer,LCSC Part #,Description,Package,Stock,Type,MFR.Part #,Datasheet,Price (USD),value,tolerance,type,voltage,min_value,max_value
GUANGDONG FENGHUA ADVANCED TECH,C1565,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 3.3PF 50V 0402 ROHS,0402,57650,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG3R3C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG3R3C500NT_C1565.pdf,0.0018,3e-12,5.0,Capacitor,50.0,2.85e-12,3.15e-12
GUANGDONG FENGHUA ADVANCED TECH,C1792,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 12PF 50V 0805 ROHS,0805,27682,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805CG120J500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805CG120J500NT_C1792.pdf,0.0221,1.2e-11,5.0,Capacitor,50.0,1.14e-11,1.26e-11
SAMSUNG ELECTRO-MECHANICS,C8031,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 27PF 50V 0805 ROHS,0805,45154,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL21C270JBANNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL21C270JBANNNC_C8031.pdf,0.0178,2.7e-11,5.0,Capacitor,50.0,2.565e-11,2.835e-11
SAMSUNG ELECTRO-MECHANICS,C13533,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 330PF 50V 0402 ROHS,0402,35363,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL05C331JB5NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05C331JB5NNNC_C13533.pdf,0.0052,3.3e-10,5.0,Capacitor,50.0,3.135e-10,3.465e-10
SAMSUNG ELECTRO-MECHANICS,C23967,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1.5NF 50V 0402 ROHS,0402,57237,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL05B152KB5NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05B152KB5NNNC_C23967.pdf,0.016,,5.0,,50.0,,
GUANGDONG FENGHUA ADVANCED TECH,C1756,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 68NF 50V 0805 ROHS,0805,76317,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805B683K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805B683K500NT_C1756.pdf,0.0353,,5.0,,50.0,,
GUANGDONG FENGHUA ADVANCED TECH,C1857,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 220NF 50V 1206 ROHS,1206,80155,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,1206B224K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-1206B224K500NT_C1857.pdf,0.0323,,5.0,,50.0,,
UNIROYAL ELEC,C17429,CHIP RESISTOR - SURFACE MOUNT 11KOHMS ±1% 1/8W 0805 ROHS,0805,91242,CHIP RESISTOR - SURFACE MOUNT,0805W8F1102T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F1102T5E_C17429.pdf,0.005,11000.0,1.0,Resistor,,10890.0,11110.0
UNIROYAL ELEC,C17455,CHIP RESISTOR - SURFACE MOUNT 13KOHMS ±1% 1/8W 0805 ROHS,0805,44263,CHIP RESISTOR - SURFACE MOUNT,0805W8F1302T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F1302T5E_C17455.pdf,0.0035,13000.0,1.0,Resistor,,12870.0,13130.0
GUANGDONG FENGHUA ADVANCED TECH,C1049,INDUCTORS (SMD) 1206 ROHS,1206,26750,INDUCTORS (SMD),CMI321609U4R7KT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-CMI321609U4R7KT_C1049.pdf,0.0171,,5.0,,,,
UNIROYAL ELEC,C23163,CHIP RESISTOR - SURFACE MOUNT 4.7MOHMS ±1% 1/10W 0603 ROHS,0603,20488,CHIP RESISTOR - SURFACE MOUNT,0603WAF4704T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF4704T5E_C23163.pdf,0.0024,4700000.0,1.0,Resistor,,4653000.0,4747000.0
UNIROYAL ELEC,C25897,CHIP RESISTOR - SURFACE MOUNT 49.9KOHMS ±1% 1/16W 0402 ROHS,0402,73777,CHIP RESISTOR - SURFACE MOUNT,0402WGF4992TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF4992TCE_C25897.pdf,0.0011,49900.0,1.0,Resistor,,49401.0,50399.0
UNIROYAL ELEC,C17757,CHIP RESISTOR - SURFACE MOUNT 56OHMS ±1% 1/8W 0805 ROHS,0805,27827,CHIP RESISTOR - SURFACE MOUNT,0805W8F560JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F560JT5E_C17757.pdf,0.003,56.0,1.0,Resistor,,55.44,56.56
UNIROYAL ELEC,C25196,CHIP RESISTOR - SURFACE MOUNT 56OHMS ±1% 1/10W 0603 ROHS,0603,165229,CHIP RESISTOR - SURFACE MOUNT,0603WAF560JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF560JT5E_C25196.pdf,0.0018,56.0,1.0,Resistor,,55.44,56.56
UNIROYAL ELEC,C23220,CHIP RESISTOR - SURFACE MOUNT 620OHMS ±1% 1/10W 0603 ROHS,0603,15336,CHIP RESISTOR - SURFACE MOUNT,0603WAF6200T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF6200T5E_C23220.pdf,0.0019,620.0,1.0,Resistor,,613.8,626.2
UNIROYAL ELEC,C17802,CHIP RESISTOR - SURFACE MOUNT 68OHMS ±1% 1/8W 0805 ROHS,0805,29360,CHIP RESISTOR - SURFACE MOUNT,0805W8F680JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F680JT5E_C17802.pdf,0.003,68.0,1.0,Resistor,,67.32,68.68
UNIROYAL ELEC,C17797,CHIP RESISTOR - SURFACE MOUNT 680KOHMS ±1% 1/8W 0805 ROHS,0805,34179,CHIP RESISTOR - SURFACE MOUNT,0805W8F6803T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F6803T5E_C17797.pdf,0.003,680000.0,1.0,Resistor,,673200.0,686800.0
MICROCHIP TECH,C7377,LOW POWER OPAMPS GENERAL PURPOSE 2 1.8V ~ 6V 1MHZ 0.6 V/US SOIC-8_150MIL ROHS,SOIC-8_150MIL,1,LOW POWER OPAMPS,MCP6002T-I/SN,https://datasheet.lcsc.com/szlcsc/Microchip-Tech-MCP6002T-I-SN_C7377.pdf,0.2236,,5.0,,8.0,,
STMICROELECTRONICS,C18088,ST MICROELECTRONICS TSSOP-20 ROHS,TSSOP-20,19375,ST MICROELECTRONICS,STM8L051F3P6TR,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM8L051F3P6TR_C18088.pdf,0.5576,,5.0,,,,
STC MICRO,C8696,STC LQFP-44_10X10X08P ROHS,LQFP-44_10X10X08P,3301,STC,STC12C5A60S2-35I-LQFP44,https://datasheet.lcsc.com/szlcsc/STC-Micro-STC12C5A60S2-35I-LQFP44_C8696.pdf,1.2435,,5.0,,,,
NXP SEMICON,C38695,CAN 1/1 5MBPS 4.5V ~ 5.5V SOIC-8_150MIL ROHS,SOIC-8_150MIL,8776,CAN,TJA1051T/3/1J,https://datasheet.lcsc.com/szlcsc/NXP-Semicon-TJA1051T-3-1J_C38695.pdf,0.5959,,5.0,,5.0,,
TEXAS INSTRUMENTS,C7722,DC-DC CONVERTERS STEP-UP ADJUSTABLE 1 1.8V 6V 28V 350MA (SWITCH) SOT-23-5 ROHS,SOT-23-5,16435,DC-DC CONVERTERS,TPS61040DBVR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-TPS61040DBVR_C7722.pdf,0.4288,,5.0,,8.0,,
NEXPERIA,C5625,"74 SERIES TRANSCEIVER, NON-INVERTING 1 2V ~ 6V SOIC-20_300MIL ROHS",SOIC-20_300MIL,18375,74 SERIES,"74HC245D,653",https://datasheet.lcsc.com/szlcsc/Nexperia-74HC245D-653_C5625.pdf,0.2087,,5.0,,2.0,,
UNIROYAL ELEC,C25918,CHIP RESISTOR - SURFACE MOUNT 7.5KOHMS ±1% 1/16W 0402 ROHS,0402,86148,CHIP RESISTOR - SURFACE MOUNT,0402WGF7501TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF7501TCE_C25918.pdf,0.0041,7500.0,1.0,Resistor,,7425.0,7575.0
UNIROYAL ELEC,C23240,CHIP RESISTOR - SURFACE MOUNT 750KOHMS ±1% 1/10W 0603 ROHS,0603,56919,CHIP RESISTOR - SURFACE MOUNT,0603WAF7503T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF7503T5E_C23240.pdf,0.0047,750000.0,1.0,Resistor,,742500.0,757500.0
UNIROYAL ELEC,C23264,CHIP RESISTOR - SURFACE MOUNT 910OHMS ±1% 1/10W 0603 ROHS,0603,63884,CHIP RESISTOR - SURFACE MOUNT,0603WAF9100T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF9100T5E_C23264.pdf,0.0038,910.0,1.0,Resistor,,900.9,919.1
UNIROYAL ELEC,C17678,CHIP RESISTOR - SURFACE MOUNT 40.2KOHMS ±1% 1/8W 0805 ROHS,0805,42835,CHIP RESISTOR - SURFACE MOUNT,0805W8F4022T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F4022T5E_C17678.pdf,0.0033,40200.0,1.0,Resistor,,39798.0,40602.0
UNIROYAL ELEC,C17667,CHIP RESISTOR - SURFACE MOUNT 4.3KOHMS ±1% 1/8W 0805 ROHS,0805,40887,CHIP RESISTOR - SURFACE MOUNT,0805W8F4301T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F4301T5E_C17667.pdf,0.005,4300.0,1.0,Resistor,,4257.0,4343.0
SUNLORD,C14304,INDUCTORS (SMD) 0805 ROHS,0805,36978,INDUCTORS (SMD),SDFL2012T470KTF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDFL2012T470KTF_C14304.pdf,0.0438,,5.0,,,,
UNIROYAL ELEC,C17677,CHIP RESISTOR - SURFACE MOUNT 4.99KOHMS ±1% 1/8W 0805 ROHS,0805,105581,CHIP RESISTOR - SURFACE MOUNT,0805W8F4991T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F4991T5E_C17677.pdf,0.0033,4990.0,1.0,Resistor,,4940.1,5039.9
UNIROYAL ELEC,C17719,CHIP RESISTOR - SURFACE MOUNT 49.9KOHMS ±1% 1/8W 0805 ROHS,0805,25958,CHIP RESISTOR - SURFACE MOUNT,0805W8F4992T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F4992T5E_C17719.pdf,0.0036,49900.0,1.0,Resistor,,49401.0,50399.0
UNIROYAL ELEC,C17783,CHIP RESISTOR - SURFACE MOUNT 62KOHMS ±1% 1/8W 0805 ROHS,0805,6695,CHIP RESISTOR - SURFACE MOUNT,0805W8F6202T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F6202T5E_C17783.pdf,0.0032,62000.0,1.0,Resistor,,61380.0,62620.0
UNIROYAL ELEC,C22795,CHIP RESISTOR - SURFACE MOUNT 130KOHMS ±1% 1/10W 0603 ROHS,0603,45665,CHIP RESISTOR - SURFACE MOUNT,0603WAF1303T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1303T5E_C22795.pdf,0.0017,130000.0,1.0,Resistor,,128700.0,131300.0
UNIROYAL ELEC,C25762,CHIP RESISTOR - SURFACE MOUNT 18KOHMS ±1% 1/16W 0402 ROHS,0402,67237,CHIP RESISTOR - SURFACE MOUNT,0402WGF1802TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1802TCE_C25762.pdf,0.0023,18000.0,1.0,Resistor,,17820.0,18180.0
UNIROYAL ELEC,C25882,CHIP RESISTOR - SURFACE MOUNT 2.4KOHMS ±1% 1/16W 0402 ROHS,0402,63219,CHIP RESISTOR - SURFACE MOUNT,0402WGF2401TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF2401TCE_C25882.pdf,0.0011,2400.0,1.0,Resistor,,2376.0,2424.0
UNIROYAL ELEC,C17589,CHIP RESISTOR - SURFACE MOUNT 270KOHMS ±1% 1/8W 0805 ROHS,0805,63218,CHIP RESISTOR - SURFACE MOUNT,0805W8F2703T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0805W8F2703T5E_C17589.pdf,0.0029,270000.0,1.0,Resistor,,267300.0,272700.0
UNIROYAL ELEC,C25102,CHIP RESISTOR - SURFACE MOUNT 300OHMS ±1% 1/16W 0402 ROHS,0402,54995,CHIP RESISTOR - SURFACE MOUNT,0402WGF3000TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF3000TCE_C25102.pdf,0.0011,300.0,1.0,Resistor,,297.0,303.0
UNIROYAL ELEC,C23156,CHIP RESISTOR - SURFACE MOUNT 3MOHMS ±1% 1/10W 0603 ROHS,0603,50374,CHIP RESISTOR - SURFACE MOUNT,0603WAF3004T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF3004T5E_C23156.pdf,0.0022,3000000.0,1.0,Resistor,,2970000.0,3030000.0
UNIROYAL ELEC,C25778,CHIP RESISTOR - SURFACE MOUNT 330KOHMS ±1% 1/16W 0402 ROHS,0402,126421,CHIP RESISTOR - SURFACE MOUNT,0402WGF3303TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF3303TCE_C25778.pdf,0.0033,330000.0,1.0,Resistor,,326700.0,333300.0
GUANGDONG FENGHUA ADVANCED TECH,C1669,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 4.7PF 50V 0603 ROHS,0603,38613,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0603CG4R7C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603CG4R7C500NT_C1669.pdf,0.0054,7e-12,5.0,Capacitor,50.0,6.65e-12,7.35e-12
GUANGDONG FENGHUA ADVANCED TECH,C1569,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 4.7PF 50V 0402 ROHS,0402,75504,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG4R7C500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG4R7C500NT_C1569.pdf,0.0129,7e-12,5.0,Capacitor,50.0,6.65e-12,7.35e-12
GUANGDONG FENGHUA ADVANCED TECH,C1570,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 30PF 50V 0402 ROHS,0402,46277,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0402CG300J500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0402CG300J500NT_C1570.pdf,0.0018,3e-11,5.0,Capacitor,50.0,2.85e-11,3.15e-11
GUANGDONG FENGHUA ADVANCED TECH,C1683,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 82PF 50V 0603 ROHS,0603,16699,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0603CG820J500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0603CG820J500NT_C1683.pdf,0.0039,8.2e-11,5.0,Capacitor,50.0,7.79e-11,8.61e-11
SAMSUNG ELECTRO-MECHANICS,C53150,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 680PF 50V 0805 ROHS,0805,51392,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL21B681KBANNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL21B681KBANNNC_C53150.pdf,0.0103,6.8e-10,5.0,Capacitor,50.0,6.46e-10,7.14e-10
GUANGDONG FENGHUA ADVANCED TECH,C1717,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1.5NF 50V 0805 ROHS,0805,31454,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805B152K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805B152K500NT_C1717.pdf,0.0129,,5.0,,50.0,,
SAMSUNG ELECTRO-MECHANICS,C26404,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 3.3NF 50V 0402 ROHS,0402,25809,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL05B332KB5NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05B332KB5NNNC_C26404.pdf,0.0111,,5.0,,50.0,,
SUNLORD,C14033,HF INDUCTORS 3.9NH ±3% 300MA 0402 ROHS,0402,58813,HF INDUCTORS,SDCL1005C3N9STDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1005C3N9STDF_C14033.pdf,0.0054,,3.0,,,,
SAMSUNG ELECTRO-MECHANICS,C27920,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 8.2NF 50V 0603 ROHS,0603,45736,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL10B822KB8NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL10B822KB8NNNC_C27920.pdf,0.0184,,5.0,,50.0,,
SUNLORD,C15666,HF INDUCTORS 10NH ±5% 300MA 0603 ROHS,0603,45232,HF INDUCTORS,SDCL1608C10NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1608C10NJTDF_C15666.pdf,0.013,,5.0,,,,
SUNLORD,C13415,HF INDUCTORS 68NH ±5% 300MA 0603 ROHS,0603,17960,HF INDUCTORS,SDCL1608C68NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1608C68NJTDF_C13415.pdf,0.013,,5.0,,,,
UNIROYAL ELEC,C26082,CHIP RESISTOR - SURFACE MOUNT 10MOHMS ±1% 1/16W 0402 ROHS,0402,65275,CHIP RESISTOR - SURFACE MOUNT,0402WGF1005TCE,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0402WGF1005TCE_C26082.pdf,0.0017,10000000.0,1.0,Resistor,,9900000.0,10100000.0
ON SEMICON,C32078,"DC-DC CONVERTERS STEP-UP, STEP-DOWN ADJUSTABLE 1 3V 40V 1.25V 40V (SWITCH) 1.5A (SWITCH) SOIC-8_150MIL ROHS",SOIC-8_150MIL,9436,DC-DC CONVERTERS,MC34063ADR2G,https://datasheet.lcsc.com/szlcsc/ON-Semicon-ON-MC34063ADR2G_C32078.pdf,0.1966,,5.0,,3.0,,
TEXAS INSTRUMENTS,C7859,74 SERIES 1 TSSOP-24 ROHS,TSSOP-24,5521,74 SERIES,SN74LVC4245APWR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-SN74LVC4245APWR_C7859.pdf,0.4612,,5.0,,,,
STMICROELECTRONICS,C15742,ST MICROELECTRONICS LQFP-64_10X10X05P ROHS,LQFP-64_10X10X05P,3378,ST MICROELECTRONICS,STM32F405RGT6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM32F405RGT6_C15742.pdf,4.8348,,5.0,,,,
TEXAS INSTRUMENTS,C7593,TIMER SOIC-8_150MIL ROHS,SOIC-8_150MIL,12881,TIMER,NE555DR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-NE555DR_C7593.pdf,0.1321,,5.0,,,,
MONOLITHIC POWER SYSTEMS,C14867,DC-DC CONVERTERS STEP-DOWN ADJUSTABLE 1 4.75V 18V 0.923V 15V 2A SOIC-8_150MIL ROHS,SOIC-8_150MIL,12657,DC-DC CONVERTERS,MP1482DS-LF-Z,https://datasheet.lcsc.com/szlcsc/Monolithic-Power-Systems-MPS-MP1482DS-LF-Z_C14867.pdf,0.2467,,5.0,,75.0,,
STMICROELECTRONICS,C9861,ST MICROELECTRONICS LQFP-48_7X7X05P ROHS,LQFP-48_7X7X05P,3381,ST MICROELECTRONICS,STM32L151C8T6,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-STM32L151C8T6_C9861.pdf,1.9653,,5.0,,,,
STMICROELECTRONICS,C6961,"FET INPUTAMPLIFIERS J-FET 2 6V ~ 36V, ±3V ~ 18V 4MHZ 16 V/US SOIC-8_150MIL ROHS",SOIC-8_150MIL,15254,FET INPUTAMPLIFIERS,TL072CDT,https://datasheet.lcsc.com/szlcsc/STMicroelectronics-TL072CDT_C6961.pdf,0.148,,5.0,,6.0,,
NANJING EXTENSION MICROELECTRONICS,C12044,PMIC - BATTERY MANAGEMENT SOT-23-6 ROHS,SOT-23-6,6931,PMIC - BATTERY MANAGEMENT,TP4057-42-SOT26-R,https://datasheet.lcsc.com/szlcsc/Nanjing-Extension-Microelectronics-TP4057_C12044.pdf,0.1219,,5.0,,,,
XLSEMI,C74192,DC-DC CONVERTERS STEP-DOWN ADJUSTABLE 1 4.5V 40V 1.23V 37V 2A SOP-8_150MIL ROHS,SOP-8_150MIL,9539,DC-DC CONVERTERS,XL1509-ADJE1,https://datasheet.lcsc.com/szlcsc/XLSEMI-XL1509-ADJE1_C74192.pdf,0.2006,,5.0,,5.0,,
RENESAS,C9659,TRANSISTORS (NPN/PNP) NPN 100MA 12V SOT-23(SOT-23-3) ROHS,SOT-23,26308,TRANSISTORS (NPN/PNP),2SC3356-T1B-A/AS,https://datasheet.lcsc.com/szlcsc/RENESAS-2SC3356-T1B-A_C9659.pdf,0.1689,,5.0,,12.0,,
TEXAS INSTRUMENTS,C6180,RS-485 & RS-422 0/4 4.75V ~ 5.25V SOIC-16_150MIL ROHS,SOIC-16_150MIL,7228,RS-485 & RS-422,AM26LS32ACDR,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-AM26LS32ACDR_C6180.pdf,0.5684,,5.0,,75.0,,
GUANGDONG FENGHUA ADVANCED TECH,C1828,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 56PF 50V 0805 ROHS,0805,69340,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,0805CG560J500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-0805CG560J500NT_C1828.pdf,0.0192,5.6e-11,5.0,Capacitor,50.0,5.32e-11,5.88e-11
SAMSUNG ELECTRO-MECHANICS,C14441,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 68PF 50V 0402 ROHS,0402,58361,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,CL05C680JB5NNNC,https://datasheet.lcsc.com/szlcsc/Samsung-Electro-Mechanics-CL05C680JB5NNNC_C14441.pdf,0.0101,6.8e-11,5.0,Capacitor,50.0,6.459999999999999e-11,7.140000000000001e-11
GUANGDONG FENGHUA ADVANCED TECH,C1030,HF INDUCTORS 4.7NH ±0.3NH 400MA 0603 ROHS,0603,63472,HF INDUCTORS,VHF160808H4N7ST,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-VHF160808H4N7ST_C1030.pdf,0.0115,,5.0,,,,
SUNLORD,C1032,HF INDUCTORS 8.2NH ±5% 500MA 0603 ROHS,0603,39490,HF INDUCTORS,SDCL1608C8N2JTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1608C8N2JTDF_C1032.pdf,0.0142,,5.0,,,,
SUNLORD,C12099,HF INDUCTORS 22NH ±5% 300MA 0603 ROHS,0603,36562,HF INDUCTORS,SDCL1608C22NJTDF,https://datasheet.lcsc.com/szlcsc/Sunlord-SDCL1608C22NJTDF_C12099.pdf,0.013,,5.0,,,,
UNIROYAL ELEC,C22781,CHIP RESISTOR - SURFACE MOUNT 110OHMS ±1% 1/10W 0603 ROHS,0603,47958,CHIP RESISTOR - SURFACE MOUNT,0603WAF1100T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1100T5E_C22781.pdf,0.0033,110.0,1.0,Resistor,,108.9,111.1
UNIROYAL ELEC,C22796,CHIP RESISTOR - SURFACE MOUNT 130OHMS ±1% 1/10W 0603 ROHS,0603,55341,CHIP RESISTOR - SURFACE MOUNT,0603WAF1300T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1300T5E_C22796.pdf,0.0017,130.0,1.0,Resistor,,128.7,131.3
UNIROYAL ELEC,C22814,CHIP RESISTOR - SURFACE MOUNT 160OHMS ±1% 1/10W 0603 ROHS,0603,68393,CHIP RESISTOR - SURFACE MOUNT,0603WAF1600T5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF1600T5E_C22814.pdf,0.0017,160.0,1.0,Resistor,,158.4,161.6
TEXAS INSTRUMENTS,C7591,TI MCU LQFP-64_10X10X05P ROHS,LQFP-64_10X10X05P_0,3048,TI MCU,MSP430F149IPMRG4,https://datasheet.lcsc.com/szlcsc/Texas-Instruments-TI-MSP430F149IPMRG4_C7591.pdf,2.999,,5.0,,,,
MAXIM INTEGRATED,C37663,"REAL-TIME CLOCKS CLOCK/CALENDAR I2C, 2-WIRE SERIAL 130UA ~ 200UA @ 3.63V ~ 5.5V SOIC-16_300MIL ROHS",SOIC-16_300MIL,2044,REAL-TIME CLOCKS,DS3231M+TRL,https://datasheet.lcsc.com/szlcsc/Maxim-Integrated-DS3231M-TRL_C37663.pdf,2.1623,,5.0,,63.0,,
FORTUNE SEMICON,C14213,BATTERY PROTECTION ICS SOT-23-6 ROHS,SOT-23-6,31610,BATTERY PROTECTION ICS,DW01+G,https://datasheet.lcsc.com/szlcsc/Fortune-Semicon-DW01-G_C14213.pdf,0.0814,,5.0,,,,
SHENZHEN TITAN MICRO ELEC,C19187,LED DRIVERS SOIC-28_300MIL ROHS,SOIC-28_300MIL,4303,LED DRIVERS,TM1638,https://datasheet.lcsc.com/szlcsc/Shenzhen-Titan-Micro-Elec-TM1638_C19187.pdf,0.2494,,5.0,,,,
UNIROYAL ELEC,C4198,CHIP RESISTOR - SURFACE MOUNT 24OHMS ±1% 1/10W 0603 ROHS,0603,58222,CHIP RESISTOR - SURFACE MOUNT,0603WAF240JT5E,https://datasheet.lcsc.com/szlcsc/Uniroyal-Elec-0603WAF240JT5E_C4198.pdf,0.0019,24.0,1.0,Resistor,,23.759999999999998,24.240000000000002
"ALLEGRO MICROSYSTEMS, LLC",C10681,CURRENT SENSORS SOIC-8_150MIL ROHS,SOIC-8_150MIL,12321,CURRENT SENSORS,ACS712ELCTR-20A-T,https://datasheet.lcsc.com/szlcsc/Allegro-MicroSystems-LLC-ACS712ELCTR-20A-T_C10681.pdf,1.456,,5.0,,,,
GUANGDONG FENGHUA ADVANCED TECH,C1868,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 470PF 50V 1206 ROHS,1206,70187,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT,1206B471K500NT,https://datasheet.lcsc.com/szlcsc/Guangdong-Fenghua-Advanced-Tech-1206B471K500NT_C1868.pdf,0.0315,4.7e-10,5.0,Capacitor,50.0,4.465e-10,4.935000000000001e-10
